mos	fr	en
reeg n fuugã n kõog a noorã tɩ yidgame.	reeg n fuugã n kõog a noorã tɩ yidgame.	reeg n fuugã n kõog a noorã tɩ yidgame.
Zu-kõogo.	Tête rasée.	Shaved head.
A sã n da bãngẽ, a kõon n waẽ ye.	S'il avait su il ne serait pas venu.	If he had known he wouldn't have come.
A kõra zĩigã mood tɩ lebg neere.	Il a raclé l'herbe et la place est devenu jolie.	He scraped off the grass and the place became nice.
Sẽn wẽnd kõr n gõr kõre.	Sẽn wẽnd kõr n gõr kõre.	Sẽn wẽnd kõr n gõr kõre.
A kõsda kõs-koɛɛnga.	Il fait une toux sèche.	He is coughing toughly.
Gõaag n kõs maam.	Une épine m'a piqué.	A thorn stung me.
A kõs raagã sẽne.	Il se dirige vers le marché.	He goes towards the market.
tɩdgã vɩgemdame t'a kõosã kõs kʋl-zẽ-yẽedã bura.	tɩdgã vɩgemdame t'a kõosã kõs kʋl-zẽ-yẽedã bura.	tɩdgã vɩgemdame t'a kõosã kõs kʋl-zẽ-yẽedã bura.
Wẽnd na kõt laafɩ!	Que Dieu donne la santé !	May God give health!
sag-kõto, mui-kõto	sag-kõto, mui-kõto	sag-kõto, mui-kõto
Nin-kõtre.	Personne généreuse.	Generous person.
a kuirga a nini kõyyn n get maam.	a kuirga a nini kõyyn n get maam.	a kuirga a nini kõyyn n get maam.
reng n ku la liulgu.	reng n ku la liulgu.	reng n ku la liulgu.
a gila a nugã n wẽ a kudgã.	a gila a nugã n wẽ a kudgã.	a gila a nugã n wẽ a kudgã.
Kẽng lalgã kudga.	Vas derrière le mur.	Go behind the wall.
a gila a nugã n kudg a poorã.	a gila a nugã n kudg a poorã.	a gila a nugã n kudg a poorã.
sãy pʋg-nongr n boond kudgẽ	sãy pʋg-nongr n boond kudgẽ	sãy pʋg-nongr n boond kudgẽ
Sag-kudri.	Tô épais.	Thick porridge.
wukame n tond kuglgu.	wukame n tond kuglgu.	wukame n tond kuglgu.
yõynsã n kugund rʋkẽ wã.	yõynsã n kugund rʋkẽ wã.	yõynsã n kugund rʋkẽ wã.
a leemsame n vel kuiga.	a leemsame n vel kuiga.	a leemsame n vel kuiga.
B kuiisame.	Ils sont rentrés chez soi.	They went home.
Sãan yao kuilb a pegde a nus ko-yũudẽ.	L'étranger veut mettre fin à son séjour, voilà qu'il lave ses mains dans les jarres. (Proverbe: lorsqu’on bénéficie de l'hospitalité, on doit bien se comporter pour avoir la sympathie des habitants.)	The stranger wants to put an end to his stay, now he washes his hands in the clean water jars. (Proverb: When you enjoy hospitality, you have to behave well to have the sympathy of the locals.)
M na n kuilame.	Je vais rentrer chez moi.	I will go home.
a zagl kuila Bobo raoa.	a zagl kuila Bobo raoa.	a zagl kuila Bobo raoa.
Kuils-y biigã tɩ wĩndg kẽeme.	Renvoyez l'enfant à la maison car le soleil s'est couché.	Send the child home for the sun set already.
B kuilsda bi-puglã.	Il ont donné la fille en mariage.	They gave the girl for marriage.
a zĩi ninã kuira.	a zĩi ninã kuira.	a zĩi ninã kuira.
Sũmã kuirbame.	Les pois de terre se sont endurcis.	The Bambara beans got hard.
a raa rãamã wʋsg t'a soabã kõ-a kuirga.	a raa rãamã wʋsg t'a soabã kõ-a kuirga.	a raa rãamã wʋsg t'a soabã kõ-a kuirga.
A kuirga a ninã.	Il a ouvert grandement les yeux.	He opened his eyes widely.
reeg kuitingilinga n zãas-zãas neerã tɩ sak werbo.	reeg kuitingilinga n zãas-zãas neerã tɩ sak werbo.	reeg kuitingilinga n zãas-zãas neerã tɩ sak werbo.
kuk yokã n ges bũm ka be.	kuk yokã n ges bũm ka be.	kuk yokã n ges bũm ka be.
Wãk kukuri.	Manche de houe.	Handle of a hoe.
a rɩta kukurundi.	il mange comme un cochon.	he eats like a pig.
M na n kulame.	Je vais rentrer chez moi.	I will go home.
a põnega a pʋʋgã ne kulkutu.	a põnega a pʋʋgã ne kulkutu.	a põnega a pʋʋgã ne kulkutu.
Pʋg-yãan-kulkuugu.	Une très vieille femme.	A very old woman.
Raar fãa kullu.	Pour toujours.	Forever.
zu-noog soab kur-wĩir kaoogda bãgend tẽngre.	zu-noog soab kur-wĩir kaoogda bãgend tẽngre.	zu-noog soab kur-wĩir kaoogda bãgend tẽngre.
yaa kur-wĩir a ye kamba.	yaa kur-wĩir a ye kamba.	yaa kur-wĩir a ye kamba.
a tãoo kur-yoanga-yoanga n lungd warbẽ wã.	a tãoo kur-yoanga-yoanga n lungd warbẽ wã.	a tãoo kur-yoanga-yoanga n lungd warbẽ wã.
Yõk n lubã yaa ka pãnga, la gãe n kutẽ wã yaa f ka neda.	Se faire terrasser, c'est faute de force, mais se faire rosser dans la poussière, c'est ne pas avoir des partisans. (Proverbe, sens: la solidarité doit être exprimée chaque fois que de besoin.)	Being thrown to the ground, is lacking strength, but being tossed in the dust, is not having friends who help. (Proverb, meaning: show solidarity whenever needed)
põorã bee reemẽ wã n saad n ya kurb-kurbi.	põorã bee reemẽ wã n saad n ya kurb-kurbi.	põorã bee reemẽ wã n saad n ya kurb-kurbi.
gũus ne f tʋʋm-goabã tɩ m na n kurga f gãongo.	gũus ne f tʋʋm-goabã tɩ m na n kurga f gãongo.	gũus ne f tʋʋm-goabã tɩ m na n kurga f gãongo.
Gãeeng sã n dɩk f kurg / bɛnd tɩ f zoe n pʋg-a, fo me yaa gãeenga.	Si un fou s'empare de tes pantalons et que tu le poursuis, tu es aussi un fou. (Proverbe: il ne faut pas répondre le mal par le mal)	If a madman grabs your pants and you chase after him, you're a madman too. (Proverb: one must not answer evil with evil)
a nugã ruuga lalgã tɩ kurgi.	a nugã ruuga lalgã tɩ kurgi.	a nugã ruuga lalgã tɩ kurgi.
Yʋʋm a yiib biig pa belgd na a kuroog ye.	Un enfant de deux ans ne se flatte pas avec un monstre fictif. (Proverbe: on peut tromper quelqu'un une fois pour une raison ou pour une autre (ignorance, naïveté etc. ) mais on ne peut pas le tromper tout le temps.)	A two-year-old doesn't flatter himself with a fictional monster. (Proverb: you can cheat someone once for one reason or another (ignorance, naivety ...) but you cannot cheat him all the time.)
zẽk goeelã la f ra vuud-a woto kurrr... kurrr... tɩ na n sãamame.	zẽk goeelã la f ra vuud-a woto kurrr... kurrr... tɩ na n sãamame.	zẽk goeelã la f ra vuud-a woto kurrr... kurrr... tɩ na n sãamame.
zaogeng n tar-a t'a ziẽ tɩ ya kursa-kursa.	zaogeng n tar-a t'a ziẽ tɩ ya kursa-kursa.	zaogeng n tar-a t'a ziẽ tɩ ya kursa-kursa.
Wed kursi.	Course cycliste.	Bike racing.
bõe n tar-f tɩ f zagemd kurss... kurss... woto?	bõe n tar-f tɩ f zagemd kurss... kurss... woto?	bõe n tar-f tɩ f zagemd kurss... kurss... woto?
bũmb n ki n põog roogẽ wã tɩ ya yũug kusa.	bũmb n ki n põog roogẽ wã tɩ ya yũug kusa.	bũmb n ki n põog roogẽ wã tɩ ya yũug kusa.
Fo n kut la f zugdẽ.	C'est toi qui forges et c'est toi que es aux soufflets. (Proverbe: ce proverbe est dit q` quelqu'un qui se contredit dans ses actions: elle fait preuve d'inconsistance dans ses actes alors que pour se faire comprendre, il faut cette constance.)	It is you who forges and it is you who are in the bellows. (Proverb: this proverb is said that someone who contradicts himself in his actions: she shows inconsistency in her actions whereas to be understood, this consistency is necessary.)
nug sẽn gil n wẽ yaa kutapõ bɩ kudri.	nug sẽn gil n wẽ yaa kutapõ bɩ kudri.	nug sẽn gil n wẽ yaa kutapõ bɩ kudri.
a biigã tõdga woglem takr n kell n pa kutri.	a biigã tõdga woglem takr n kell n pa kutri.	a biigã tõdga woglem takr n kell n pa kutri.
sãyã mee boaag n yẽnegd kutu.	sãyã mee boaag n yẽnegd kutu.	sãyã mee boaag n yẽnegd kutu.
b sẽn togs-a wã, a zĩi kuu.	b sẽn togs-a wã, a zĩi kuu.	b sẽn togs-a wã, a zĩi kuu.
A sẽn yɩ kuu wã ned ka bãng a sẽn kẽe ye.	A sẽn yɩ kuu wã ned ka bãng a sẽn kẽe ye.	A sẽn yɩ kuu wã ned ka bãng a sẽn kẽe ye.
Ka-koaad pa kuud n doog wa tãoos ye.	Quand le cultivateur se courbe, il ne se redresse pas les mains vides comme le chasseur. (Proverbe: le secteur de l'agriculture est un secteur bénéfique et à ce titre, mérite d'être développé dans chaque pays)	When the cultivator bends, he does not stand up empty-handed like the hunter. (Proverb: the agricultural sector is a beneficial sector and as such, deserves to be developed in each country)
a lobg-a lame t'a kuugi.	a lobg-a lame t'a kuugi.	a lobg-a lame t'a kuugi.
a taame n dɩgl sagbã kũ'.	a taame n dɩgl sagbã kũ'.	a taame n dɩgl sagbã kũ'.
Rʋkã kũbundame tɩ zẽedã raag zãnga.	La marmite s'est renversée et toute la sauce est sortie.	The pot turned over and the sauce is poured out.
a wẽ-a-la kũga n lubi.	a wẽ-a-la kũga n lubi.	a wẽ-a-la kũga n lubi.
a sẽn yet t'a na n doogã la a po-raoogã sẽn yɩ kũga.	a sẽn yet t'a na n doogã la a po-raoogã sẽn yɩ kũga.	a sẽn yet t'a na n doogã la a po-raoogã sẽn yɩ kũga.
a yɛsãme n tʋk n lʋɩ kũi, n wẽneg n be kũumẽ.	a yɛsãme n tʋk n lʋɩ kũi, n wẽneg n be kũumẽ.	a yɛsãme n tʋk n lʋɩ kũi, n wẽneg n be kũumẽ.
bõe la fo ya n yaag noor n kũiig n get woto?	bõe la fo ya n yaag noor n kũiig n get woto?	bõe la fo ya n yaag noor n kũiig n get woto?
a bẽda kũiisr tɩ yõk koadenga.	a bẽda kũiisr tɩ yõk koadenga.	a bẽda kũiisr tɩ yõk koadenga.
yik be ne nin-kũinsi.	yik be ne nin-kũinsi.	yik be ne nin-kũinsi.
kambã kẽng n tɩ kũusa saase.	kambã kẽng n tɩ kũusa saase.	kambã kẽng n tɩ kũusa saase.
pagã wʋma biigã kũm-kũm n yik n buk-a t'a sĩndi.	pagã wʋma biigã kũm-kũm n yik n buk-a t'a sĩndi.	pagã wʋma biigã kũm-kũm n yik n buk-a t'a sĩndi.
roogã paga kũma.	roogã paga kũma.	roogã paga kũma.
Yellã ra pak-a lame, la nebã kũm-a lame.	Un malheur lui est arrivé et les gens ont eu compassion avec lui.	A misfortune got him and people had compassion towards him.
rãamã nan pa kũm ye.	rãamã nan pa kũm ye.	rãamã nan pa kũm ye.
pag-n kũmd dogem.	pag-n kũmd dogem.	pag-n kũmd dogem.
yongrã yɩɩ kũna-kũna n kẽ a roogẽ.	yongrã yɩɩ kũna-kũna n kẽ a roogẽ.	yongrã yɩɩ kũna-kũna n kẽ a roogẽ.
wã me tara kũna-kũna n dabd yɛ?	wã me tara kũna-kũna n dabd yɛ?	wã me tara kũna-kũna n dabd yɛ?
a rugame n ta kũndgẽ wã n zĩ n vʋʋsdẽ.	a rugame n ta kũndgẽ wã n zĩ n vʋʋsdẽ.	a rugame n ta kũndgẽ wã n zĩ n vʋʋsdẽ.
kũnd soab n mi a kũnd gãag zĩiga.	kũnd soab n mi a kũnd gãag zĩiga.	kũnd soab n mi a kũnd gãag zĩiga.
kũng sã n wa wẽedẽ, naoor wʋsgo yaa tẽn-kũum.	kũng sã n wa wẽedẽ, naoor wʋsgo yaa tẽn-kũum.	kũng sã n wa wẽedẽ, naoor wʋsgo yaa tẽn-kũum.
a nonga gõeem wa kũnukũng soaba.	a nonga gõeem wa kũnukũng soaba.	a nonga gõeem wa kũnukũng soaba.
a rɩka lingã n fugun laagã kũp.	a rɩka lingã n fugun laagã kũp.	a rɩka lingã n fugun laagã kũp.
a yõsg n tabga laagã noor t'a yɩ kũp.	a yõsg n tabga laagã noor t'a yɩ kũp.	a yõsg n tabga laagã noor t'a yɩ kũp.
a tʋka zɩɩb n kẽnd la n kũsdẽ.	a tʋka zɩɩb n kẽnd la n kũsdẽ.	a tʋka zɩɩb n kẽnd la n kũsdẽ.
biigã sẽn wa t'a yã-a la a sẽn be kũumẽ.	biigã sẽn wa t'a yã-a la a sẽn be kũumẽ.	biigã sẽn wa t'a yã-a la a sẽn be kũumẽ.
Ned kõn mum kũum n bas a nao / kars yɩng ye.	On ne doit pas enterrer un cadavre et laisser ses pieds dehors. Proverbe (Il ne faut pas exécuter un travail avec négligence)	When you bury a dead person, don't let his feet appear outside. Proverb (do a job correctly)
Kũum yaa Wẽnd moende.	Kũum yaa Wẽnd moende.	Kũum yaa Wẽnd moende.
Wẽnd kũun yɩɩd baoobo.	Ce que Dieu a donné dépasse ce que l'on cherche. (Proverbe: dans toute entreprise humaine, Dieu a une place très importante.)	God's gift exceeds what we are looking for. (Proverb: In every human endeavour, God has a very important place.)
A kʋʋ rũngã.	Il a tué le moustique.	He killed the mosquito.
A kʋʋ fu-kãnga wã.	Elle a usé cet habit.	He used that clothe till the end (it is worn out now).
yeeg fuugã n kʋ n bĩngi tɩ ra minim ye.	yeeg fuugã n kʋ n bĩngi tɩ ra minim ye.	yeeg fuugã n kʋ n bĩngi tɩ ra minim ye.
tõnd tãoo war t[a kʋ maam naoor a yiib.	tõnd tãoo war t[a kʋ maam naoor a yiib.	tõnd tãoo war t[a kʋ maam naoor a yiib.
biigã pa kʋ maam n yɩke: a tusa kaamã ne lengrã n lub t'a raag zãnga.	biigã pa kʋ maam n yɩke: a tusa kaamã ne lengrã n lub t'a raag zãnga.	biigã pa kʋ maam n yɩke: a tusa kaamã ne lengrã n lub t'a raag zãnga.
Mam sẽn paam tɩɩmã n so wã tɛka, m bãagã kʋʋ raase.	Mam sẽn paam tɩɩmã n so wã tɛka, m bãagã kʋʋ raase.	Mam sẽn paam tɩɩmã n so wã tɛka, m bãagã kʋʋ raase.
Kʋ-bil pa solgd yak ye, rɩ-bil n solgd yaka.	Des petites funérailles ne se cachent pas au voisin, c'est un petit plat qui se cache au voisin. (Proverbe: quand on est voisin, on doit partager aussi bien les événements heureux que les événements malheureux pour une vie harmonieuse en communauté)	Small funerals do not hide from the neighbour, it is a small dish that is hidden from the neighbour. (Proverb: when you are a neighbour, you must share both happy and unhappy events for a harmonious life in community)
Pa togs-m kʋʋr zabda kʋ-yiri.	Les plaintes de n'avoir été informé des funérailles se font au lieu des funérailles. (Proverbe: quand une faute est commise et qu'on doit se plaindre, la plainte doit être faite à la personne qui a commis la faute et n on par personnes interposées.)	Complaints of not having been informed of the funeral are made at the place of the funeral. (Proverb: when a fault is committed and one must complain, the complaint must be made to the person who committed the fault and not by intermediaries.)
Kʋdem-bull ka ket kʋdem-koom ye.	Le marigot des us et coutumes n'a plus d'eau des us et coutumes. (Proverbe: de nos jours, des pans très importants de nos cultures ont disparus et d'autres sont en voie de disparition. Il s'agit d'un amer constat)	The river of uses and customs has run out of habits and customs. (Proverb: nowadays, very important parts of our cultures have disappeared and others are in the process of disappearing. It is a bitter observation)
Zaamẽ me yaa kʋdemde.	Hier, c'est aussi de l'histoire. (Proverbe: Hier, constitue l'histoire proche mais reste tout de même une histoire que celui qui l'a vécue peut enseigner aux autres)	Yesterday is also history. (Proverb: Yesterday, constitutes the close history but remains all the same a history that the one who lived it can teach to the others)
Fuugã kʋdgame.	Le vêtement a vieilli.	The garment got old.
Yɩɩn-kʋdgo.	Ancien chant.	Ancient song.
A leba a sɩd-kʋdgẽ wã.	Elle est retournée auprès de son ancien mari.	She returned to her former husband.
bi-kãngã sɩd yaa bãad-kʋdr menga.	bi-kãngã sɩd yaa bãad-kʋdr menga.	bi-kãngã sɩd yaa bãad-kʋdr menga.
A yaa bãad-kʋdre.	C'est quelqu'un qui est malade depuis longtemps.	He is ill for a long time.
ges sugrã kʋgdengẽ wã n sẽk m tabrã n wa kõ-ma.	ges sugrã kʋgdengẽ wã n sẽk m tabrã n wa kõ-ma.	ges sugrã kʋgdengẽ wã n sẽk m tabrã n wa kõ-ma.
a faagame t'a gɛ wã fãa men tɩ kʋgdã nugs n tond rʋd-rʋda.	a faagame t'a gɛ wã fãa men tɩ kʋgdã nugs n tond rʋd-rʋda.	a faagame t'a gɛ wã fãa men tɩ kʋgdã nugs n tond rʋd-rʋda.
bug-raoogã rɩga a kʋgdrẽ wã daar fãa.	bug-raoogã rɩga a kʋgdrẽ wã daar fãa.	bug-raoogã rɩga a kʋgdrẽ wã daar fãa.
wakat fãa b kʋgenda taab a kẽnda.	wakat fãa b kʋgenda taab a kẽnda.	wakat fãa b kʋgenda taab a kẽnda.
reeg woto n kʋgl f zugu.	reeg woto n kʋgl f zugu.	reeg woto n kʋgl f zugu.
bao raad n kʋgl peoogã t'a sɛɛgã ra wa lik ye.	bao raad n kʋgl peoogã t'a sɛɛgã ra wa lik ye.	bao raad n kʋgl peoogã t'a sɛɛgã ra wa lik ye.
sɩd yaa zo-rãmba: b sã n kẽnd fãa yaa kʋglem-kʋglem.	sɩd yaa zo-rãmba: b sã n kẽnd fãa yaa kʋglem-kʋglem.	sɩd yaa zo-rãmba: b sã n kẽnd fãa yaa kʋglem-kʋglem.
Kʋgs n waoogd bãoogo.	Ce sont les caïlcédrats qui honorent le bas-fond. (Proverbe: l'honneur de toute personne est le fait de ses semblables; il faut estimer et considérer les autres.)	It is the mahogany trees who honour the lowlands. (Proverb: the honour of every person is due to his fellow men. We must esteem and consider others.)
a kell n zaoonda roogã noor kʋgsrã n dɩ.	a kell n zaoonda roogã noor kʋgsrã n dɩ.	a kell n zaoonda roogã noor kʋgsrã n dɩ.
Saagã kʋɩɩme n dat n ni.	La pluie se prépare pour pleuvoir.	The clouds are preparing to rain.
ki wã nan pa kʋɩ n sek pãbr ye.	ki wã nan pa kʋɩ n sek pãbr ye.	ki wã nan pa kʋɩ n sek pãbr ye.
yaa bõe zu-loees bɩ bõe bãag n tar-a t'a kʋɩt woto?	yaa bõe zu-loees bɩ bõe bãag n tar-a t'a kʋɩt woto?	yaa bõe zu-loees bɩ bõe bãag n tar-a t'a kʋɩt woto?
gãeegã rigd-a-lame t'a kʋɩ tĩiga.	gãeegã rigd-a-lame t'a kʋɩ tĩiga.	gãeegã rigd-a-lame t'a kʋɩ tĩiga.
Ned kam fãa zãms zu-kʋr tʋkre, tɩ ka zĩis fãa n tar kʋɩds ye.	Proverbe;; Que chacun apprenne à porter les charges sans coussinet car il n'y a pas de coussinet partout.	Proverb: Everybody should learn to carry a load without a cushion because you might find places where there is no cushion.
fo sã n kʋɩɩb-a foo la yel-wẽn-maandã.	fo sã n kʋɩɩb-a foo la yel-wẽn-maandã.	fo sã n kʋɩɩb-a foo la yel-wẽn-maandã.
kʋɩɩg bãag n yika t'a gõd gãe.	kʋɩɩg bãag n yika t'a gõd gãe.	kʋɩɩg bãag n yika t'a gõd gãe.
Kʋɩɩm yet tɩ koob noom me, roog tɩ d kul n yɩɩde.	Le paresseux dit que même si le labour est intéressant, rentrons à la maison est toujours mieux. (proverbe indiquant: quelle que soit l’occupation de quelqu'un, qu'elle soit intéressante ou pénible, il arrive des moments où il faut arrêter.)	The lazy person says that while the ploughing is interesting, coming home is always better. (A proverb that says no matter what someone’s occupation, whether it is interesting or difficult, there are times when you have to quit.)
Bi-kãngã ka tol n dat n tʋm meng ye, a na n yɩɩ kʋɩɩm-daolgo.	Bi-kãngã ka tol n dat n tʋm meng ye, a na n yɩɩ kʋɩɩm-daolgo.	Bi-kãngã ka tol n dat n tʋm meng ye, a na n yɩɩ kʋɩɩm-daolgo.
Kʋɩɩm yet tɩ sẽoog / yʋʋmd tʋ la a wa.	Le paresseux dit que l'année (ou l'hivernage) n'a qu'à s'en aller et revenir. (proverbe: il s'agit d'une personne qui ne respecte pas sa parole ou ses engagements)	The sloth says that the year (or wintering) has only to go and return. (proverb: it is about a person who does not respect his word or his commitments)
Rɩk nemdã n kʋɩɩs ne bugum tɩ na na põogame.	Rɩk nemdã n kʋɩɩs ne bugum tɩ na na põogame.	Rɩk nemdã n kʋɩɩs ne bugum tɩ na na põogame.
a baood-a-lame n dat n sigs a kʋɩɩs bal kae; ka wa yikãadem daab ye.	a baood-a-lame n dat n sigs a kʋɩɩs bal kae; ka wa yikãadem daab ye.	a baood-a-lame n dat n sigs a kʋɩɩs bal kae; ka wa yikãadem daab ye.
roogã woglem bal bɩ paga ne kʋɩlem-bila?	roogã woglem bal bɩ paga ne kʋɩlem-bila?	roogã woglem bal bɩ paga ne kʋɩlem-bila?
